PRODUCT_NAME,PRODUCT_ID,PT_NAME,PT_CODE,SOC_NAME,CUMM_SPONT_COUNT,NEW_SPONT_COUNT,CUMM_STUDY_COUNT,NEW_STUDY_COUNT,CUMM_SERIOUS_COUNT,NEW_SERIOUS_COUNT,CUMM_FATAL_COUNT,NEW_FATAL_COUNT,FLAG_RECHAL,FLAG_DECHAL,FLAG_PREG,FLAG_LABEL,FLAG_CONSERVATIVE_RELATEDNESS
Harvoni,27593,Cardiac failure congestive,10007559,Card,15,15,0,0,15,15,0,0,No,No,No,No,No
Harvoni,27593,Tinnitus,10043882,Ear,32,32,0,0,11,11,0,0,No,No,No,No,No
Harvoni,27593,Blood cholesterol abnormal,10005423,Inv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Cerebral ventricle dilatation,10048824,Nerv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Tonsil cancer,10044002,Neopl,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Migraine without aura,10052787,Nerv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Dyskinesia,10013916,Nerv,6,6,0,0,6,6,6,6,No,No,No,No,No
Harvoni,27593,Extrapyramidal disorder,10015832,Nerv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Movement disorder,10028035,Nerv,2,2,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Multiple sclerosis,10028245,Nerv,2,2,0,0,2,2,0,0,No,No,No,No,No
Harvoni,27593,Enzyme level decreased,10072235,Inv,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Lymphocyte count increased,10025258,Inv,2,2,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Nerve root compression,10061866,Nerv,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Visual field defect,10047555,Nerv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Hypothyroidism,10021114,Endo,2,2,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Amnesia,10001949,Nerv,18,18,0,0,8,8,1,1,No,No,No,No,No
Harvoni,27593,Memory impairment,10027175,Nerv,35,35,0,0,15,15,0,0,No,No,No,No,No
Harvoni,27593,Transient global amnesia,10044380,Nerv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Congenital cystic kidney disease,10010428,Cong,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Atrioventricular block complete,10003673,Card,3,3,0,0,3,3,0,0,No,No,No,No,No
Harvoni,27593,Arteriovenous malformation,10003193,Cong,1,1,0,0,1,1,1,1,No,No,No,No,No
Harvoni,27593,Peritonitis bacterial,10062070,Infec,16,16,0,0,16,16,4,4,No,No,No,No,No
Harvoni,27593,Toxic skin eruption,10057970,Skin,5,5,0,0,5,5,0,0,No,No,No,No,No
Harvoni,27593,Skin exfoliation,10040844,Skin,11,11,0,0,4,4,0,0,No,No,No,No,No
Harvoni,27593,Rosacea,10039218,Skin,2,2,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Depression,10012378,Psych,94,94,0,0,38,38,1,1,No,No,No,No,No
Harvoni,27593,Myositis,10028653,Musc,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Enthesopathy,10014910,Musc,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Foetal distress syndrome,10016855,Preg,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Rash,10037844,Skin,129,129,0,0,42,42,0,0,No,No,No,No,No
Harvoni,27593,Pulmonary alveolar haemorrhage,10037313,Resp,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Acute interstitial pneumonitis,10066728,Resp,1,1,0,0,1,1,1,1,No,No,No,No,No
Harvoni,27593,Aspiration,10003504,Resp,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Respiratory tract congestion,10052251,Resp,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Thyroid cancer,10066474,Neopl,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Henoch-Schonlein purpura,10019617,Skin,2,2,0,0,2,2,0,0,No,No,No,No,No
Harvoni,27593,Urine abnormality,10046607,Renal,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Renal infarct,10038470,Renal,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Vaginal haemorrhage,10046910,Repro,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Erythema multiforme,10015218,Skin,5,5,0,0,5,5,0,0,No,No,No,No,No
Harvoni,27593,Priapism,10036661,Repro,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Negative thoughts,10058672,Psych,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Hyperaesthesia,10020568,Nerv,3,3,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Musculoskeletal chest pain,10050819,Musc,4,4,0,0,2,2,0,0,No,No,No,No,No
Harvoni,27593,Flank pain,10016750,Musc,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Physical assault,10034983,SocCi,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Skin irritation,10040880,Skin,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Aspartate aminotransferase decreased,10003479,Inv,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Blood bilirubin increased,10005364,Inv,48,48,0,0,39,39,5,5,No,No,No,No,No
Harvoni,27593,Blood bilirubin unconjugated increased,10005370,Inv,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Injection site pain,10022086,Genrl,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Autoimmune hepatitis,10003827,Hepat,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Blood culture positive,10005488,Inv,1,1,0,0,1,1,1,1,No,No,No,No,No
Harvoni,27593,Transplant evaluation,10057925,Inv,3,3,0,0,3,3,1,1,No,No,No,No,No
Harvoni,27593,Exposure via partner,10071412,Inj&P,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Fluid retention,10016807,Metab,10,10,0,0,9,9,0,0,No,No,No,No,No
Harvoni,27593,Loose tooth,10065612,Gastr,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Tooth loss,10044044,Gastr,3,3,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Liver injury,10067125,Hepat,3,3,0,0,3,3,0,0,No,No,No,No,No
Harvoni,27593,Liver transplant rejection,10024715,Immun,3,3,0,0,3,3,0,0,No,No,No,No,No
Harvoni,27593,False negative investigation result,10070747,Inv,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Impaired healing,10021519,Genrl,5,5,0,0,2,2,0,0,No,No,No,No,No
Harvoni,27593,Bowel movement irregularity,10063541,Gastr,4,4,0,0,2,2,0,0,No,No,No,No,No
Harvoni,27593,Multiple organ dysfunction syndrome,10077361,Genrl,7,7,0,0,7,7,7,7,No,No,No,No,No
Harvoni,27593,Hepatic failure,10019663,Hepat,55,55,0,0,55,55,23,23,No,No,No,No,No
Harvoni,27593,Chronic hepatic failure,10057573,Hepat,3,3,0,0,3,3,2,2,No,No,No,No,No
Harvoni,27593,Drug ineffective for unapproved indication,10051118,Inj&P,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Hypertrophic cardiomyopathy,10020871,Cong,2,2,0,0,2,2,0,0,No,No,No,No,No
Harvoni,27593,Glucose tolerance impaired,10018429,Metab,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Ileus,10021328,Gastr,3,3,0,0,3,3,1,1,No,No,No,No,No
Harvoni,27593,Hypoaesthesia oral,10057371,Gastr,4,4,0,0,3,3,0,0,No,No,No,No,No
Harvoni,27593,Oral hyperaesthesia,10076390,Gastr,1,1,0,0,1,1,0,0,No,No,No,No,No
Harvoni,27593,Hypertrophy of tongue papillae,10020893,Gastr,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Glossodynia,10018388,Gastr,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Gastrointestinal sounds abnormal,10067715,Gastr,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Eructation,10015137,Gastr,1,1,0,0,0,0,0,0,No,No,No,No,No
Harvoni,27593,Gastritis,10017853,Gastr,7,7,0,0,6,6,1,1,No,No,No,No,No
Harvoni,27593,Enterocolitis,10014893,Gastr,4,4,0,0,4,4,1,1,No,No,No,No,No
